Код;ОКВЭД;Корректировка валовой добавленной стоимости на экономические операции, не наблюдаемые прямыми статистическими методами (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);корректировка валовой добавленной стоимости на теневые операции юридических лиц (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);корректировка валовой добавленной стоимости на операции неформального сектора экономики и на производство домашних хозяйств для собственного конечного использования (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);Корректировка валовой добавленной стоимости на экономические операции, не наблюдаемые прямыми статистическими методами, в процентах к ВВП;year;source
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2017;GVA_12_2021
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2018;GVA_12_2021
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2019;GVA_12_2021
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2020;GVA_12_2021
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2017;GVA_04_2020
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2018;GVA_04_2020
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2016;NAs_08_2024
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2017;NAs_08_2024
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2018;NAs_08_2024
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2019;NAs_08_2024
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2020;NAs_08_2024
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2021;NAs_08_2024
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2022;NAs_08_2024
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2017;NAs_08_2022
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2018;NAs_08_2022
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2019;NAs_08_2022
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2020;NAs_08_2022
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2017;NAs_07_2020
Раздел O;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";0;0;0;0;2018;NAs_07_2020
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;10,7;8,1;2,6;0,2;2002;NA_2010
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;10,6;8;2,6;0,2;2002;NA_2009
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;9,9;5,9;4;0,2;2003;NA_2011
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;9,9;5,9;4;0,2;2003;NA_2010
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;9,8;5,9;3,9;0,2;2003;NA_2009
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,4;7,5;4;0,2;2004;NA_2012
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,4;7,5;4;0,2;2004;NA_2011
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,4;7,5;4;0,2;2004;NA_2010
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11;7,1;3,9;0,2;2004;NA_2009
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;13,3;7,6;5,7;0,2;2005;NA_2013
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;13,3;7,6;5,7;0,2;2005;NA_2012
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;13,3;7,6;5,7;0,2;2005;NA_2011
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;13,3;7,6;5,7;0,2;2005;NA_2010
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;13;7,4;5,6;0,2;2005;NA_2009
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,6;7,5;5,1;0,2;2006;NA_2014
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,6;7,5;5,1;0,2;2006;NA_2013
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,6;7,5;5,1;0,2;2006;NA_2012
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,6;7,5;5,1;0,2;2006;NA_2011
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,6;7,5;5,1;0,2;2006;NA_2010
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;13;7,4;5,6;0,2;2006;NA_2009
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,8;6,8;5;0,2;2007;NA_2015
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,8;6,8;5;0,2;2007;NA_2014
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,8;6,8;5;0,2;2007;NA_2013
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,8;6,8;5;0,2;2007;NA_2012
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,8;6,8;5;0,2;2007;NA_2011
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,8;6,8;5;0,2;2007;NA_2010
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,4;6,7;5,7;0,2;2007;NA_2009
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,1;6,5;5,5;0,2;2008;NA_2015
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,1;6,5;5,5;0,2;2008;NA_2014
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,1;6,5;5,5;0,2;2008;NA_2013
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,1;6,5;5,5;0,2;2008;NA_2012
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,1;6,5;12,1;0,2;2008;NA_2011
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,2;6,6;5,6;0,2;2008;NA_2010
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;15,2;7,9;7,3;0,2;2009;NA_2015
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;15,2;7,9;7,3;0,2;2009;NA_2014
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;15,2;7,9;7,3;0,2;2009;NA_2013
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;15,2;7,9;7,3;0,2;2009;NA_2012
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;15,1;7,9;7,3;0,2;2009;NA_2011
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;7,8;7,2;0,6;0,1;2010;NA_2015
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;7,8;7,2;0,6;0,1;2010;NA_2014
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;7,8;7,2;0,6;0,1;2010;NA_2013
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;15,7;8,5;7,2;0,2;2010;NA_2012
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;10;8;2;0,1;2011;NA_2017
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;9,5;7,8;1,7;0,1;2011;NA_2015
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;9,5;7,8;1,7;0,1;2011;NA_2014
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;7,8;7,2;0,6;0,1;2011;NA_2013
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,9;9,5;3,4;0,2;2012;NA_2017
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;14,4;8,6;5,7;0,2;2012;NA_2015
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;9,9;8;1,9;0,1;2012;NA_2014
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,9;6,6;6,3;0,2;2013;NA_2017
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;14,6;9;5,6;0,2;2013;NA_2015
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,9;6,7;6,2;0,2;2014;NA_2017
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;13,2;6,8;6,4;0,2;2015;NA_2017
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;10,71330638;8,075823897;2,637482485;0,180023931;2002;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;9,884821667;5,925269715;3,959551952;0,1633027;2003;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,41155502;7,459004828;3,952550189;0,183506163;2004;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;13,32766185;7,634958972;5,692702878;0,200274502;2005;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,6364535;7,489650671;5,146802826;0,195795446;2006;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,8;6,8;5;0,18462584;2007;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,1;6,5;5,5;0,1816513;2008;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;15,2;7,9;7,3;0,229494872;2009;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;7,8;7,2;0,6;0,118587391;2010;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;9,5;7,8;1,7;0,134592293;2011;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;10;8;2;0,13686492;2011_2;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,9;9,5;3,4;0,172994059;2012;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,9;6,6;6,3;0,183906591;2013;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,9;6,6;6,2;0,182023157;2014;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,4;6,7;5,7;0,190510157;2015;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;11,1;6,4;4,7;0,176529527;2016;GVA_05_2021
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;10;8;2;0,1;2011;NAs_08_2018
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,9;9,5;3,4;0,2;2012;NAs_08_2018
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,9;6,6;6,3;0,2;2013;NAs_08_2018
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,9;6,7;6,2;0,2;2014;NAs_08_2018
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,4;6,7;5,7;0,2;2015;NAs_08_2018
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,3;6,8;5,4;0,2;2016;NAs_08_2018
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;10;8;2;0,1;2011;NAs_09_2016
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;12,8;9,5;3,3;0,2;2012;NAs_09_2016
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;13,7;6,7;7;0,2;2013;NAs_09_2016
Раздел O;ПРЕДОСТАВЛЕНИЕ   ПРОЧИХ   КОММУНАЛЬНЫХ,   СОЦИАЛЬНЫХ   И ПЕРСОНАЛЬНЫХ УСЛУГ;13,1;6,8;6,3;0,2;2014;NAs_09_2016
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;0;0;0;0;2010;NA_2015
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;0;0;0;0;2010;NA_2014
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;0;0;0;0;2010;NA_2013
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;74,6;0;74,6;0;2010;NA_2012
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2011;NA_2017
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;0;0;0;0;2011;NA_2015
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;0;0;0;0;2011;NA_2014
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;0;0;0;0;2011;NA_2013
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2012;NA_2017
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;0;0;0;0;2012;NA_2015
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;0;0;0;0;2012;NA_2014
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2013;NA_2017
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;0;0;0;0;2013;NA_2015
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2014;NA_2017
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,5;2015;NA_2017
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;;;;;2002;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;;;;;2003;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;;;;;2004;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;;;;;2005;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;;;;;2006;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;;;;;2007;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;;;;;2008;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;;;;;2009;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;0;0;0;0;2010;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;0;0;0;0;2011;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,56309511;2011_2;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,551751788;2012;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,556258294;2013;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,551628216;2014;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,580820472;2015;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,591335925;2016;GVA_05_2021
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2011;NAs_08_2018
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2012;NAs_08_2018
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2013;NAs_08_2018
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2014;NAs_08_2018
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2015;NAs_08_2018
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2016;NAs_08_2018
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2011;NAs_09_2016
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2012;NAs_09_2016
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2013;NAs_09_2016
Раздел P;ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ;100;0;100;0,6;2014;NAs_09_2016
Раздел P;ОБРАЗОВАНИЕ;4,4;1,3;3,1;0,1;2017;NA_2023
Раздел P;ОБРАЗОВАНИЕ;4,4;1,3;3,1;0,1;2017;NA_2021
